casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
1024,2,0,0,1,0,0,1,1,1,1,1,0,1,39.06,9999,9999,9999,9999,9999,9999
2651,2,1,0,1,1,1,0,0,9999,9999,9999,9999,9999,37.75,49.83,9999,1,1,1,1
5819,2,0,0,1,1,0,1,1,0,0,1,0,1,40.29,48.71,9999,1,1,1,1
6402,2,0,9999,1,1,1,1,1,9999,9999,9999,9999,9999,48.49,9999,9999,1,1,1,1
5031,2,0,1,0,0,0,1,0,1,1,1,0,0,55.28,73.48,80.76,1,1,0.78,0
1300,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,34.16,9999,9999,1,1,1,1
3409,2,0,0,1,1,1,0,0,9999,9999,9999,9999,9999,41.37,9999,9999,1,1,1,1
5201,2,0,1,0,0,0,1,1,9999,9999,9999,9999,9999,46.34,9999,9999,9999,9999,9999,9999
4626,2,0,1,1,1,1,0,1,1,1,1,1,1,54.19,9999,9999,9999,9999,9999,9999
5326,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,47.01,9999,9999,9999,9999,9999,9999
5866,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
1697,2,0,1,1,1,1,1,1,1,1,1,1,1,54.29,55.44,67.69,1,1,1,1
5941,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,46.61,9999,9999,9999,9999,9999,9999
2941,2,0,1,1,0,0,0,0,9999,9999,9999,9999,9999,37.54,9999,9999,1,1,1,1
3043,2,1,9999,1,1,1,1,0,9999,9999,9999,9999,9999,36.72,9999,9999,9999,9999,9999,9999
5961,2,0,0,0,9999,0,1,0,9999,9999,9999,9999,9999,40.86,9999,9999,9999,9999,9999,9999
3134,2,0,1,0,0,0,0,0,0,0,1,0,0,35.29,59.73,9999,1,1,1,1
6731,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,38.41,52.36,9999,9999,9999,9999,9999
5645,2,0,1,0,0,1,0,1,0,0,0,0,0,35.87,9999,9999,0,0,0.75,0
3823,2,0,1,1,0,0,0,1,0,1,0,0,1,47.51,63.95,9999,9999,9999,9999,9999
1397,2,1,1,1,1,0,0,0,1,0,0,0,0,43.04,40.74,51.39,0.33,0,0.12,0
5789,2,0,0,1,1,1,1,1,0,0,0,0,0,47.89,58.92,9999,9999,9999,9999,9999
5865,2,1,9999,1,0,1,0,0,9999,9999,9999,9999,9999,34.91,9999,9999,9999,9999,9999,9999
6316,2,1,1,1,0,1,0,1,9999,9999,9999,9999,9999,53.79,9999,9999,9999,9999,9999,9999
6140,2,0,0,0,0,1,1,1,9999,9999,9999,9999,9999,30.2,9999,9999,9999,9999,9999,9999
4289,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,47.66,9999,9999,9999,9999,9999,9999
1762,2,0,1,1,0,1,0,1,0,1,0,0,0,52.62,63.33,69.74,0.33,0,0.78,0
2420,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,39.02,9999,9999,9999,9999,9999,9999
5179,2,1,1,0,1,0,0,1,0,0,0,0,1,41,60.76,9999,1,1,1,1
3630,2,0,1,1,1,1,1,1,1,1,0,1,1,42.11,57.01,55.69,0.33,0,0.11,0
6606,2,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,42.45,9999,9999,0,0,0,0
1199,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,31.07,9999,9999,0,0,0,0
3107,2,1,0,1,0,1,0,0,0,0,0,0,0,38.65,48.77,45.91,0.33,0,0.11,0
4053,2,1,1,1,0,1,1,1,1,0,1,0,1,43.28,51.34,9999,9999,9999,9999,9999
5249,2,1,1,1,0,0,0,0,1,0,1,0,0,42.96,52.17,9999,0.33,0,0.11,0
6590,2,1,0,1,0,1,0,0,1,1,1,1,1,48.63,48.46,9999,0.67,0,0.89,0
2458,2,0,0,0,0,1,0,0,9999,9999,9999,9999,9999,45.88,9999,9999,9999,9999,9999,9999
6473,2,1,1,0,1,1,0,1,9999,9999,9999,9999,9999,30.47,9999,9999,9999,9999,9999,9999
5396,2,0,0,1,0,1,0,1,9999,9999,9999,9999,9999,38.72,9999,9999,9999,9999,9999,9999
1642,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,38.08,9999,9999,9999,9999,9999,9999
1331,2,1,1,0,0,0,1,0,9999,9999,9999,9999,9999,47.71,9999,9999,1,1,1,1
6835,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,38.18,9999,9999,9999,9999,9999,9999
3265,2,0,1,1,0,1,1,1,9999,9999,9999,9999,9999,28.46,45.47,9999,9999,9999,9999,9999
5093,2,0,0,1,1,1,1,1,1,1,1,1,1,52.71,66.11,70.27,0.33,0,0.11,0
6152,2,1,0,1,0,0,0,0,9999,9999,9999,9999,9999,55.02,9999,9999,9999,9999,9999,9999
5282,2,1,1,0,1,0,1,0,1,0,1,0,1,30.4,36.99,9999,0.33,0,0.33,0
1859,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,40.44,9999,9999,9999,9999,9999,9999
